Timestamp,Seg01,Seg02,Seg03,Seg04,Seg05,Seg06,Seg07,Seg08,Seg09,Seg010,Seg011,Seg012,Seg013,Seg014,Seg015
2025-04-28 08:22:26,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[2.5920908451080322, 0.9168046712875366]","[0.7590437531471252, 0.20847579836845398]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:26,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[2.5920908451080322, 0.9168046712875366]","[0.7590437531471252, 0.20847579836845398]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:27,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[2.5920908451080322, 0.9168046712875366]","[0.7590437531471252, 0.20847579836845398]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:28,"[2.2016592025756836, 1.367193341255188]","[6.196666240692139, 3.255967617034912]","[2.5195159912109375, 1.1006839275360107]","[2.5920908451080322, 0.9168046712875366]","[0.7590437531471252, 0.20847579836845398]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:29,"[2.2016592025756836, 1.367193341255188]","[0.6968176364898682, 0.3661348819732666]","[2.5195159912109375, 1.1006839275360107]","[0.7286389470100403, 0.25771456956863403]","[0.7452731728553772, 0.20469363033771515]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:30,"[0.6812684535980225, 0.4230562448501587]","[0.6968176364898682, 0.3661348819732666]","[0.7082380652427673, 0.3094032108783722]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:31,"[0.6812684535980225, 0.4230562448501587]","[0.6968176364898682, 0.3661348819732666]","[0.7213243842124939, 0.315120130777359]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[6.865794658660889, 1.3641341924667358]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:32,"[0.6812684535980225, 0.4230562448501587]","[0.6968176364898682, 0.3661348819732666]","[0.7082380652427673, 0.3094032108783722]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[6.865794658660889, 1.3641341924667358]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:33,"[0.6812684535980225, 0.4230562448501587]","[0.6968176364898682, 0.3661348819732666]","[0.7082380652427673, 0.3094032108783722]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[6.865794658660889, 1.3641341924667358]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:34,"[0.6812684535980225, 0.4230562448501587]","[0.6968176364898682, 0.3661348819732666]","[0.7213243842124939, 0.315120130777359]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[6.865794658660889, 1.3641341924667358]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:35,"[0.6942799687385559, 0.4311361312866211]","[0.6968176364898682, 0.3661348819732666]","[0.7082380652427673, 0.3094032108783722]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[6.865794658660889, 1.3641341924667358]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:36,"[0.6812684535980225, 0.4230562448501587]","[0.6968176364898682, 0.3661348819732666]","[0.7082380652427673, 0.3094032108783722]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[0.7720614075660706, 0.15339744091033936]","[0.5289499759674072, 0.066044382750988]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
2025-04-28 08:22:38,"[0.6942799687385559, 0.4311361312866211]","[0.6968176364898682, 0.3661348819732666]","[0.7082380652427673, 0.3094032108783722]","[0.7156264185905457, 0.25311213731765747]","[0.731963574886322, 0.20103806257247925]","[0.7720614075660706, 0.15339744091033936]","[0.5361186265945435, 0.06693945825099945]","[0.5323282480239868, 0.027867082506418228]","[0.540177583694458, -0.010595934465527534]","[0.5380200147628784, -0.04938184842467308]","[0.5968839526176453, -0.09843448549509048]","[0.6449846625328064, -0.15466853976249695]","[0.6865601539611816, -0.21786116063594818]","[0.7449722290039062, -0.2968496084213257]","[0.721717119216919, -0.34961071610450745]"
