Timestamp,Seg01,Seg02,Seg03,Seg04,Seg05,Seg06,Seg07,Seg08,Seg09,Seg010,Seg011,Seg012,Seg013,Seg014,Seg015
2025-04-28 08:27:15,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:16,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:17,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:18,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:19,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:20,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[3.122258186340332, 0.22492465376853943]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:21,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[6.981906890869141, 0.5029702186584473]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:23,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[6.981906890869141, 0.5029702186584473]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:24,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[6.981906890869141, 0.5029702186584473]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
2025-04-28 08:27:25,"[1.1519466638565063, 0.4416528046131134]","[6.6721343994140625, 2.117220163345337]","[6.785092353820801, 1.7211979627609253]","[1.2116022109985352, 0.2325046807527542]","[1.2231780290603638, 0.16085344552993774]","[6.981906890869141, 0.5029702186584473]","[6.999401569366455, 0.0915253534913063]","[6.992671012878418, -0.32023608684539795]","[6.961738586425781, -0.7308891415596008]","[6.906710624694824, -1.1390128135681152]","[6.827777862548828, -1.543194055557251]","[6.725214004516602, -1.9420340061187744]","[6.599373817443848, -2.3341526985168457]","[6.450692176818848, -2.7181923389434814]","[6.279684543609619, -3.092824697494507]"
